species,family
Lycaena phlaeas,Lycaenidae
Lycaena virgaureae,Lycaenidae
Lycaena hippothoe,Lycaenidae
Celastrina argiolus,Lycaenidae
Cupido minimus,Lycaenidae
Cyaniris semiargus,Lycaenidae
Plebejus argus,Lycaenidae
Plebejus idas,Lycaenidae
Agriades optilete,Lycaenidae
Polyommatus icarus,Lycaenidae
Polyommatus amandus,Lycaenidae
Aricia agestis,Lycaenidae
Aricia artaxerxes,Lycaenidae
Phengaris alcon,Lycaenidae
Phengaris arion,Lycaenidae
Favonius quercus,Lycaenidae
Satyrium w-album,Lycaenidae
Callophrys rubi,Lycaenidae
Thecla betulae,Lycaenidae
Maniola jurtina,Nymphalidae
Coenonympha pamphilus,Nymphalidae
Coenonympha tullia,Nymphalidae
Aphantopus hyperantus,Nymphalidae
Pararge aegeria,Nymphalidae
Lasiommata megera,Nymphalidae
Hipparchia semele,Nymphalidae
Vanessa atalanta,Nymphalidae
Vanessa cardui,Nymphalidae
Aglais io,Nymphalidae
Aglais urticae,Nymphalidae
Polygonia c-album,Nymphalidae
Nymphalis antiopa,Nymphalidae
Nymphalis xanthomelas,Nymphalidae
Nymphalis polychloros,Nymphalidae
Limenitis camilla,Nymphalidae
Araschnia levana,Nymphalidae
Apatura iris,Nymphalidae
Apatura ilia,Nymphalidae
Melitaea cinxia,Nymphalidae
Melitaea athalia,Nymphalidae
Melitaea diamina,Nymphalidae
Euphydryas aurinia,Nymphalidae
Boloria selene,Nymphalidae
Boloria aquilonaris,Nymphalidae
Boloria euphrosyne,Nymphalidae
Issoria lathonia,Nymphalidae
Brenthis ino,Nymphalidae
Fabriciana niobe,Nymphalidae
Fabriciana adippe,Nymphalidae
Argynnis paphia,Nymphalidae
Speyeria aglaja,Nymphalidae
Colias hyale,Pieridae
Colias crocea,Pieridae
Gonepteryx rhamni,Pieridae
Anthocharis cardamines,Pieridae
Pieris napi,Pieridae
Pieris rapae,Pieridae
Pieris brassicae,Pieridae
Aporia crataegi,Pieridae
Pontia edusa,Pieridae
Ochlodes sylvanus,Hesperiidae
Thymelicus sylvestris,Hesperiidae
Thymelicus lineola,Hesperiidae
Erynnis tages,Hesperiidae
Pyrgus malvae,Hesperiidae
Pyrgus armoricanus,Hesperiidae
Hesperia comma,Hesperiidae
Carterocephalus silvicola,Hesperiidae
Heteropterus morpheus,Hesperiidae
