species,subfamily
Lycaena phlaeas,Lycaeninae
Lycaena virgaureae,Lycaeninae
Lycaena hippothoe,Lycaeninae
Celastrina argiolus,Polyommatinae
Cupido minimus,Polyommatinae
Cyaniris semiargus,Polyommatinae
Plebejus argus,Polyommatinae
Plebejus idas,Polyommatinae
Agriades optilete,Polyommatinae
Polyommatus icarus,Polyommatinae
Polyommatus amandus,Polyommatinae
Aricia agestis,Polyommatinae
Aricia artaxerxes,Polyommatinae
Phengaris alcon,Polyommatinae
Phengaris arion,Polyommatinae
Favonius quercus,Theclinae
Satyrium w-album,Theclinae
Callophrys rubi,Theclinae
Thecla betulae,Theclinae
Maniola jurtina,Satyrinae
Coenonympha pamphilus,Satyrinae
Coenonympha tullia,Satyrinae
Aphantopus hyperantus,Satyrinae
Pararge aegeria,Satyrinae
Lasiommata megera,Satyrinae
Hipparchia semele,Satyrinae
Vanessa atalanta,Nymphalinae
Vanessa cardui,Nymphalinae
Aglais io,Nymphalinae
Aglais urticae,Nymphalinae
Polygonia c-album,Nymphalinae
Nymphalis antiopa,Nymphalinae
Nymphalis xanthomelas,Nymphalinae
Nymphalis polychloros,Nymphalinae
Limenitis camilla,Limenitidinae
Araschnia levana,Nymphalinae
Apatura iris,Apaturinae
Apatura ilia,Apaturinae
Melitaea cinxia,Heliconiinae
Melitaea athalia,Heliconiinae
Melitaea diamina,Heliconiinae
Euphydryas aurinia,Heliconiinae
Boloria selene,Heliconiinae
Boloria aquilonaris,Heliconiinae
Boloria euphrosyne,Heliconiinae
Issoria lathonia,Heliconiinae
Brenthis ino,Heliconiinae
Fabriciana niobe,Heliconiinae
Fabriciana adippe,Heliconiinae
Argynnis paphia,Heliconiinae
Speyeria aglaja,Heliconiinae
Colias hyale,Pieridae
Colias croceus,Pieridae
Gonepteryx rhamni,Pieridae
Anthocharis cardamines,Pieridae
Pieris napi,Pieridae
Pieris rapae,Pieridae
Pieris brassicae,Pieridae
Aporia crataegi,Pieridae
Pontia edusa,Pieridae
Ochlodes sylvanus,Hesperiidae
Thymelicus sylvestris,Hesperiidae
Thymelicus lineola,Hesperiidae
Erynnis tages,Hesperiidae
Pyrgus malvae,Hesperiidae
Pyrgus armoricanus,Hesperiidae
Hesperia comma,Hesperiidae
Carterocephalus silvicola,Hesperiidae
Heteropterus morpheus,Hesperiidae
